"date","name","party","facebook","twitter"
"2015-10-12","Jeb Bush","R","284787","329506"
"2015-10-12","Ben Carson","R","4193354","724160"
"2015-10-12","Chris Christie","R","188048","563761"
"2015-10-12","Ted Cruz","R","1490077","523214"
"2015-10-12","Mark Everson","R","1864","6496"
"2015-10-12","Carly Fiorina","R","486046","585655"
"2015-10-12","Jim Gilmore","R","10458","1790"
"2015-10-12","Lindsey Graham","R","137314","27929"
"2015-10-12","Mike Huckabee","R","1848596","411956"
"2015-10-12","Bobby Jindal","R","284349","218903"
"2015-10-12","John Kasich","R","146892","111653"
"2015-10-12","George Pataki","R","19147","56157"
"2015-10-12","Rand Paul","R","2067522","694288"
"2015-10-12","Marco Rubio","R","1046378","892337"
"2015-10-12","Rick Santorum","R","265403","245204"
"2015-10-12","Lincoln Chafee","D","9997","19890"
"2015-10-12","Enrique Sotomayor","D","7236","209"
"2015-10-12","Hillary Clinton","D","1525618","4434865"
"2015-10-12","Martin OMalley","D","80941","188"
"2015-10-12","Bernie Sanders","D","1654186","795521"
"2015-10-12","Jim Webb","D","32118","14632"
